ID1,Affinal_ID,Affinal_r
6002243,6002363,"[0,0.125)   "
6002268,6002003,"[0,0.125)   "
6002268,6002004,"[0,0.125)   "
6002268,6002390,"[0,0.125)   "
6002268,6002391,"[0,0.125)   "
6002268,6002477,"[0,0.125)   "
6002268,6002478,"[0,0.125)   "
6002273,6002111,"[0,0.125)   "
6002273,6002112,"[0,0.125)   "
6002273,6002439,"[0,0.125)   "
6002273,6002440,"[0,0.125)   "
6002282,6002183,"[0,0.125)   "
6002282,6002344,"[0,0.125)   "
6002282,6002345,"[0,0.125)   "
6002282,6002371,"[0,0.125)   "
6002282,6002372,"[0,0.125)   "
6002313,6002234,"[0,0.125)   "
6002313,6002235,"[0,0.125)   "
6002315,6002512,"[0,0.125)   "
6002316,6002509,"[0,0.125)   "
6002316,6002512,"[0,0.125)   "
6002336,6002512,"[0,0.125)   "
6002336,6002549,"[0,0.125)   "
6002338,6002173,"[0,0.125)   "
6002338,6002174,"[0,0.125)   "
6002338,6002318,"[0,0.125)   "
6002338,6002319,"[0,0.125)   "
6002338,6002323,"[0,0.125)   "
6002338,6002366,"[0,0.125)   "
6002338,6002367,"[0,0.125)   "
6002338,6002368,"[0,0.125)   "
6002338,6002509,"[0,0.125)   "
6002338,6002512,"[0,0.125)   "
6002338,6002547,"[0,0.125)   "
6002338,6002549,"[0,0.125)   "
6002341,6002111,"[0,0.125)   "
6002341,6002112,"[0,0.125)   "
6002341,6002439,"[0,0.125)   "
6002341,6002440,"[0,0.125)   "
6002342,6002109,"[0,0.125)   "
6002342,6002111,"[0,0.125)   "
6002342,6002112,"[0,0.125)   "
6002342,6002183,"[0,0.125)   "
6002342,6002285,"[0,0.125)   "
